Team,Date,Comp,Venue,Result,GF,GA,Opponent,Referee,season,Resultado
FC Barcelona,8/13/2017,Supercopa de España,Neutral,L,1,3,Real Madrid,Ricardo de Burgos,17/18,No Victoria
FC Barcelona,8/16/2017,Supercopa de España,Away,L,0,2,Real Madrid,José Sánchez,17/18,No Victoria
FC Barcelona,8/20/2017,La Liga,Home,W,2,0,Betis,Daniel Trujillo,17/18,Victoria
FC Barcelona,8/26/2017,La Liga,Away,W,2,0,Alavés,Carlos del Cerro,17/18,Victoria
FC Barcelona,9/9/2017,La Liga,Home,W,5,0,Espanyol,Jesús Gil,17/18,Victoria
FC Barcelona,9/12/2017,Champions Lg,Home,W,3,0,itJuventus,Damir Skomina,17/18,Victoria
FC Barcelona,9/16/2017,La Liga,Away,W,2,1,Getafe,David Fernández,17/18,Victoria
FC Barcelona,9/19/2017,La Liga,Home,W,6,1,Eibar,Alejandro Hernández,17/18,Victoria
FC Barcelona,9/23/2017,La Liga,Away,W,3,0,Girona,José Sánchez,17/18,Victoria
FC Barcelona,9/27/2017,Champions Lg,Away,W,1,0,ptSporting CP,Ovidiu Hațegan,17/18,Victoria
FC Barcelona,10/1/2017,La Liga,Home,W,3,0,Las Palmas,José Munuera,17/18,Victoria
FC Barcelona,10/14/2017,La Liga,Away,D,1,1,Atlético Madrid,Antonio Matéu Lahoz,17/18,No Victoria
FC Barcelona,10/18/2017,Champions Lg,Home,W,3,1,grOlympiacos,William Collum,17/18,Victoria
FC Barcelona,10/21/2017,La Liga,Home,W,2,0,Málaga,Pablo González,17/18,Victoria
FC Barcelona,10/24/2017,Copa del Rey,Away,W,3,0,Real Murcia,José Luis Munuera,17/18,Victoria
FC Barcelona,10/28/2017,La Liga,Away,W,2,0,Athletic Club,Juan Martínez,17/18,Victoria
FC Barcelona,10/31/2017,Champions Lg,Away,D,0,0,grOlympiacos,Anthony Taylor,17/18,No Victoria
FC Barcelona,11/4/2017,La Liga,Home,W,2,1,Sevilla,José González,17/18,Victoria
FC Barcelona,11/18/2017,La Liga,Away,W,3,0,Leganés,Alberto Undiano,17/18,Victoria
FC Barcelona,11/22/2017,Champions Lg,Away,D,0,0,itJuventus,Milorad Mažić,17/18,No Victoria
FC Barcelona,11/26/2017,La Liga,Away,D,1,1,Valencia,Ignacio Iglesias,17/18,No Victoria
FC Barcelona,11/29/2017,Copa del Rey,Home,W,5,0,Real Murcia,Antonio Alberola Rojas,17/18,Victoria
FC Barcelona,12/2/2017,La Liga,Home,D,2,2,Celta Vigo,Mario Melero,17/18,No Victoria
FC Barcelona,12/5/2017,Champions Lg,Home,W,2,0,ptSporting CP,Craig Thomson,17/18,Victoria
